url,region,price,year,manufacturer,model,condition,fuel,odometer,transmission,drive,type,description,state,lat,long,posting_date,vehicle_age,vehicle_label,market_median_price,deal_score
https://siouxcity.craigslist.org/ctd/d/sioux-falls-2016-ram-promaster-city/7304446986.html,sioux city,13995,2016.0,ram,promaster city,,gas,89271.0,automatic,fwd,other,"2016 Ram ProMaster City Wagon Van 4D - $13,995.00Call us today!  (605) 360-80272016 Ram ProMaster City For Sale by Airway Auto ServiceVehicle Description for this Ram ProMaster City2016 Ram Pro master city 89K miles . Full inspection and ready to go! Good tires and brakes , Cleaned and serviced , ru",ia,43.5566,-96.8028,2021-04-09T18:14:29-0500,9.0,2016 Ram Promaster City,13995.0,0.0
https://richmond.craigslist.org/cto/d/quinton-2005-cadillac-deville/7311649483.html,richmond,5850,2005.0,cadillac,deville,good,gas,74000.0,automatic,fwd,,"2005 Cadillac Deville black with tan interior. All options. He did seats heated steering wheel heated mirrors NorthStar  motor 74k original miles!  Recent oil change, 2/22 inspection.  Drives amazing!",va,37.5185,-77.1486,2021-04-23T19:43:31-0400,20.0,2005 Cadillac Deville,3950.0,-1900.0
https://merced.craigslist.org/cto/d/merced-2004-toyota-corolla/7316472898.html,merced,3000,2004.0,toyota,corolla,,gas,216000.0,automatic,,,"I am selling a 2004 Toyota Corolla which runs great and has no issues. It is very reliable, great on gas and has been maintained on time. The car does have AC and has a Bluetooth stereo system. It is a clean title with 216000 miles on it. Asking 3000 or best price",ca,37.3024,-120.4859,2021-05-03T15:28:32-0700,21.0,2004 Toyota Corolla,4000.0,1000.0
https://savannah.craigslist.org/ctd/d/la-plata-2013-ford-expedition-limited/7303676032.html,savannah / hinesville,9950,2013.0,ford,expedition,,,165361.0,automatic,rwd,suv,"2013 *Ford* *Expedition* 2WD 4dr Limited SUV - $9,950Call Us Today! 912-964-2277Please call Becky or Kevin today for BEST PRICING!     Ford_ Expedition_ For Sale by Carsmart Auto SalesFinancing options available. Credit apps on our website: http://carsmartmotors.com/    See all posts from this deale",ga,36.88042,-108.180553,2021-04-08T12:03:50-0400,12.0,2013 Ford Expedition,15995.0,6045.0
https://cincinnati.craigslist.org/ctd/d/middletown-2013-chevrolet-silverado-ls/7311680521.html,cincinnati,14995,2013.0,chevrolet,silverado 1500 ls,excellent,gas,118755.0,automatic,rwd,pickup,"2013 CHEVROLET SILVERADO LS 1500 4X2, 118,755 MILES, 4.8L V-8,AUTOMATIC TRANSMISSION,AIR CONDITIONING,CRUISE CONTROL,TILT WHEEL,AM/FM CD WITH STEERING WHEEL CONTROLS,POWER WINDOWS, POWER LOCKS,ABS BRAKES,TRACTION CONTROL,TIRE PRESSURE MONITOR,LIMITED SLIP REAR END,BED LINER, TRAILER TOW PACKAGE.NICE",oh,39.5321,-84.3896,2021-04-23T21:04:51-0400,12.0,2013 Chevrolet Silverado 1500 Ls,14995.0,0.0
https://altoona.craigslist.org/ctd/d/coalport-2013-dodge-dart-limited-62k/7305729046.html,altoona-johnstown,9750,2013.0,dodge,dart limited,,gas,62000.0,automatic,,,"2013 Dodge Dart LIMITED 2L Automatic Sunroof, heated leather seats,  backup camera, remote start 62k miles $9750  Hamilton Auto Sales Inc 1538 Main Street  Coalport PA 16627 8146725896 NOTARY BY APPOINTMENT  PA STATE INSPECTION STATION   Hours: Monday 10-5 Tues 10-5 Wednesday 10-5 Thursday 3-5 Frida",pa,40.755085,-78.534439,2021-04-12T13:42:14-0400,12.0,2013 Dodge Dart Limited,8149.5,-1600.5
https://mansfield.craigslist.org/ctd/d/mansfield-2010-chevy-chevrolet-camaro/7312327918.html,mansfield,28590,2010.0,chevrolet,camaro ss coupe 2d,good,gas,16903.0,other,rwd,coupe,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience that allows all customers to buy and trade their cars without ever leaving the safety of their house, w",oh,40.76,-82.52,2021-04-25T11:10:45-0400,15.0,2010 Chevrolet Camaro Ss Coupe 2D,28590.0,0.0
https://merced.craigslist.org/ctd/d/sacramento-2017-chevy-chevrolet-equinox/7303222863.html,merced,20988,2017.0,chevrolet,equinox premier,good,gas,46081.0,automatic,fwd,other,"2017 * Chevrolet * * Equinox   Premier *  suv  Summit White - Stock  A29607M&S Auto 209-822-2070 - Call now for your best deal!Se Habla EspanolWhy Buy From M&S Auto?Thank you for visiting our new website! M&S Auto is Sacramento’s favorite used car dealership, look no further. This company is founded",ca,38.610767,-121.422557,2021-04-07T10:51:05-0700,8.0,2017 Chevrolet Equinox Premier,20988.0,0.0
https://panamacity.craigslist.org/ctd/d/panama-city-2018-ford-escape/7307734387.html,panama city,16995,2018.0,ford,escape,,gas,25295.0,automatic,fwd,suv,"SOLD!!!   This Ford Escape has just been Sold. As America's Largest Automotive Retailer we have thousands of other vehicles, including many others that may be identical to this one.		 		 Use the link below to view inventory from this and other nearby dealerships.		 		 	http://lyv.cc/UXVZ4	A27FBAFAEA",fl,30.159737,-85.660922,2021-04-16T10:46:49-0500,7.0,2018 Ford Escape,17950.0,955.0
https://philadelphia.craigslist.org/cto/d/philadelphia-bmw-325xi-awd-runs-great/7315019163.html,philadelphia,3999,2001.0,bmw,325xi awd,excellent,gas,150466.0,automatic,fwd,sedan,"Come check out this clean E46 2001 BMW 3 series 325xi, AWD, Automatic runs great, sunroof, AC, everything works. Only 1 previous owner, well maintained, interior in great condition. Great handle and control. No leaks, no smoke.  Engine is very quiet and transmission shifts smoothly. New pics coming ",pa,40.0178,-75.0895,2021-04-30T16:57:18-0400,24.0,2001 Bmw 325Xi Awd,3999.0,0.0
https://desmoines.craigslist.org/ctd/d/cedar-falls-2012-chevrolet-corvette-1lt/7314579510.html,des moines,32995,2012.0,chevrolet,corvette,good,gas,39228.0,automatic,rwd,convertible,"2012 *** Chevrolet Corvette 1LT Convertible ***    Drive it home today. Call us now !!Call ☏ (319) 505−2116  E&A Motors INC 4037 University Ave, Waterloo, IA 50701Copy & Paste the URL belowto view more information!http://eandamotors.com    			Year : 2012				Make : Chevrolet				Model : Corvette				Tr",ia,42.504823,-92.405569,2021-04-29T18:00:24-0500,13.0,2012 Chevrolet Corvette,32995.0,0.0
https://watertown.craigslist.org/ctd/d/watertown-2013-honda-civic-si-coupe-2d/7308796564.html,watertown,16590,2013.0,honda,civic si coupe 2d,good,other,81552.0,other,fwd,coupe,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience that allows all customers to buy and trade their cars without ever leaving the safety of their house, w",ny,43.97,-75.91,2021-04-18T12:50:37-0400,12.0,2013 Honda Civic Si Coupe 2D,16590.0,0.0
https://fresno.craigslist.org/cto/d/fresno-2008-dodge-grand-caravan/7313084879.html,fresno / madera,3900,2008.0,dodge,grand caravan,good,gas,218000.0,automatic,rwd,mini-van,"Over $3,000 in Kicker + Pioneer Dvd / Cd / bt system , new $600 Viper alarm with remote start, $2500 invested in completely rebuilt front end w/ new rack & pinion,  front & rear struts, all new bushings & ball-joints, tie rod ends & controll arms etc, front wheel hub bearing s, all less than 6 month",ca,36.8878,-119.7589,2021-04-26T15:48:57-0700,17.0,2008 Dodge Grand Caravan,4443.5,543.5
https://lubbock.craigslist.org/ctd/d/lubbock-down-honda-accord-lx-easy/7311939925.html,lubbock,1500,2011.0,honda,accord lx,excellent,gas,207000.0,automatic,,sedan,"www.DEPOTAUTOSALES.com NO CREDIT CHECK! COME SEE US TODAY! EVERYONE GETS APPROVED! $1,500 Down. Take a look at this nice 2011 Honda Accord LX. It runs and drives great. It has ice cold AC too. It comes with a gas saving 2.4L VTEC engine and an automatic transmission. Come check it out today. Call or",tx,33.560994,-101.856239,2021-04-24T12:17:59-0500,14.0,2011 Honda Accord Lx,7490.0,5990.0
https://inlandempire.craigslist.org/ctd/d/riverside-toyota-sienna-bad-credit/7314458714.html,inland empire,13499,2012.0,toyota,sienna,,gas,102281.0,automatic,fwd,other,"2012 Toyota Sienna LE Minivan 4D - $13,499.00Call us today!  (951) 742-76242012 Toyota Sienna For Sale by IE CAR PLANET LLCVehicle Description for this Toyota SiennaVehicle Details for this Toyota SiennaPrice: $13,499.00Year: 2012Make: ToyotaModel: SiennaTrim: LE Minivan 4DOdometer: 102281 milesEngi",ca,33.9924,-117.3694,2021-04-29T12:07:39-0700,13.0,2012 Toyota Sienna,13990.0,491.0
https://knoxville.craigslist.org/ctd/d/maryville-2014-ford-escape-se/7312759115.html,knoxville,7950,2014.0,ford,escape se,excellent,gas,146000.0,automatic,fwd,suv,"SE, 4cyl, Automatic, 146k Miles, Sunroof, Backup Cam, CD, Cruise, Power Windows/Locks/Mirrors/Seats  Call me 865-681-2366  Morelock Motors 2525 East Lamar Alexander Parkway Maryville, TN 37804 www.morelockmotors.com  Stock # 2890 *all vehicles are previously owned, listed prices do NOT include sales",tn,35.755793,-83.931657,2021-04-26T09:52:17-0400,11.0,2014 Ford Escape Se,10245.0,2295.0
https://wichita.craigslist.org/ctd/d/wichita-2001-ford-door-lariat/7316060858.html,wichita,6995,2001.0,ford,f150,excellent,gas,215000.0,automatic,rwd,truck,"For sale is an exceptionally clean 2001 Ford F-150 SuperCrew Cab Lariat Styleside Short Bed Truck!  This is a clean title 3 owner vehicle.  You will not believe how clean this truck is in person.  It has 215k miles but it looks, runs, and drives more like 50k miles!  It is in excellent condition ins",ks,37.734721,-97.335856,2021-05-02T22:23:48-0500,24.0,2001 Ford F150,5825.0,-1170.0
https://collegestation.craigslist.org/cto/d/navasota-2012-chevy-work-truck-sold/7302190658.html,college station,9700,2012.0,chevrolet,2500 hd,good,gas,156229.0,automatic,rwd,,"New tires and purge valve, new tire sensors, coolant, new oil, 3 inch leveling kit,aligned and new armrest cover,plugs and wires ,sacrifice ,6.0 vortex set of pads for either front or rear brakes and finally 5th wheel set up with small tool box in truck bed now the new price is 9700.00 not going muc",tx,30.382304,-95.982111,2021-04-05T13:20:06-0500,13.0,2012 Chevrolet 2500 Hd,9700.0,0.0
https://detroit.craigslist.org/okl/ctd/d/brighton-2011-nissan-murano-sv-awd-awd/7316873120.html,detroit metro,9360,2011.0,nissan,murano sv awd! awd,excellent,gas,125475.0,other,4wd,suv,"2011 Nissan Murano SV AWD! AWD FOR ONLY $149/mo!125,475 mi. -  - 4D SUV - 6 Cyl - AWD: All Wheel Drive - VIN# JN8AZ1MW1BW168085 - STK# B0386Brighton Motors         Call or Text (810) 644-3046www.brightonmotorsonline.com         Address: 7100 Grand River Ave, Brighton, MI 48114This SUV was driven 12,",mi,42.568136,-83.813674,2021-05-04T15:03:17-0400,14.0,2011 Nissan Murano Sv Awd! Awd,9414.0,54.0
https://albany.craigslist.org/ctd/d/rensselaer-2012-jeep-grand-cherokee-srt8/7306147619.html,albany,35997,2012.0,jeep,grand cherokee,excellent,gas,62422.0,automatic,4wd,suv,"2012 *** Jeep Grand Cherokee SRT8 SUV ***    Ready To Upgrade Your Ride Today? We Make It Fast & Easy!Call (or text) ☏ (518) 444-4875  Michaels Auto Plaza 601 columbia turnpike, east greenbush, NY 12061Copy & Paste the URL belowto view more information!http://michaelsautoplaza.net/cars/14096198    	",ny,42.598179,-73.708295,2021-04-13T11:00:49-0400,13.0,2012 Jeep Grand Cherokee,12995.0,-23002.0
